"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"32-07102010-088120";"";
"REFERENCE";"2517 x 15";"";
"TraceParts.PartVersion";"1.3.4";"";
"TraceParts.InstanceId";"32-07102010-0881204KAW9K2CTFEFGZI0XQG24P9ZW";"";
"TraceParts.PartTitle";"Taper-Lock Bushings";"";
"SUPPLIER";"Gates";"";
"DESIGN";"Taper-Lock Bushings, Size 2517";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"OMNICLASS23";"23.27.35.15";"";
