"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"32-07102010-088120";"";
"REFERENCE";"1108 x 20";"";
"TraceParts.PartVersion";"1.3.4";"";
"TraceParts.InstanceId";"32-07102010-088120BXM9EGIQADADQ9UL4QLVWOSVV";"";
"TraceParts.PartTitle";"Taper-Lock Bushings";"";
"SUPPLIER";"Gates";"";
"DESIGN";"Taper-Lock Bushings, Size 1108";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"OMNICLASS23";"23.27.35.15";"";
