"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"32-07102010-088120";"";
"REFERENCE";"1610 x 25";"";
"TraceParts.PartVersion";"1.3.4";"";
"TraceParts.InstanceId";"32-07102010-0881203PXR6YZPB255101T93VAWWN0D";"";
"TraceParts.PartTitle";"Taper-Lock Bushings";"";
"SUPPLIER";"Gates";"";
"DESIGN";"Taper-Lock Bushings, Size 1610";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"OMNICLASS23";"23.27.35.15";"";
